epoch,train loss,train acc,valid loss,valid acc,test loss,test acc
1,1.68778012583,60.7244444455,1.33370740051,49.28,1.32106828957,47.83
2,1.24640697265,44.9866666645,1.11602001457,40.5,1.10055432854,40.1
3,1.08941200531,38.8977777735,0.920171500778,32.86,0.914442070961,32.31
4,0.986720231353,34.9222222212,0.927280210495,32.78,0.928446284294,32.1
5,0.926833244642,32.3488888899,0.811741741371,28.56,0.789371387672,27.94
6,0.870439982319,30.3444444434,0.788402608299,27.58,0.783017308807,27.18
7,0.811006064203,28.3155555545,0.836620069313,28.94,0.820340954208,28.63
8,0.770038501528,26.5911111132,0.836409025383,28.18,0.826695027351,27.53
9,0.741692281448,25.7688888889,0.669022372627,23.24,0.667282956886,23.22
10,0.708928340838,24.6155555577,0.765948216724,25.7,0.746879083824,25.28
11,0.679243141927,23.3888888857,0.637620055962,22.1,0.627780138206,21.75
12,0.651663031832,22.4777777757,0.655437670803,22.6,0.636816792107,21.86
13,0.631582838959,21.4599999958,0.688120749855,23.62,0.678799152184,22.66
14,0.608410258171,20.7711111143,0.635609222794,22.56,0.620744738579,21.66
15,0.588397028785,20.1133333333,0.620961887169,21.24,0.606203888893,20.54
16,0.572295633252,19.4844444423,0.683472661686,23.4,0.664145382309,22.57
17,0.552853507794,18.8555555598,0.586021751595,20.24,0.576960074425,19.71
18,0.542757216676,18.5466666709,0.561547086906,19.34,0.5674770298,19.0
19,0.528424758895,17.9022222243,0.55940074749,19.3,0.556303556061,18.31
20,0.510391856702,17.3999999958,0.584292109299,19.88,0.583381314182,19.36
21,0.498905149778,17.1155555577,0.55490965786,18.92,0.543224633408,18.49
22,0.492145783981,16.9333333365,0.568984853745,19.28,0.562355458164,18.96
23,0.475693573109,16.2066666624,0.563759119797,18.8,0.549543578053,18.53
24,0.472197066736,16.1711111079,0.545627318192,18.22,0.546098758221,18.28
25,0.455187330204,15.6311111079,0.510529790783,17.08,0.524908898115,17.66
26,0.451607622502,15.5288888899,0.520299629116,17.2,0.527696325397,17.47
27,0.446056353018,15.4199999979,0.516581567383,17.48,0.506221973515,17.2
28,0.435204196442,14.7755555524,0.543536806488,17.6,0.54197526207,17.92
29,0.427651651234,14.6911111153,0.577113279343,18.66,0.576025291061,18.41
30,0.41633322889,14.3933333302,0.489289636612,16.52,0.483643699455,16.13
31,0.413362139543,14.5044444402,0.528606477642,16.62,0.537512979221,17.14
32,0.408678941414,14.0422222201,0.479410807514,16.16,0.4858658494,16.12
33,0.401686412578,13.888888891,0.481944177055,16.04,0.486387325954,16.2
34,0.395609803353,13.7222222243,0.495457609367,16.5,0.476116021872,15.95
35,0.38977212641,13.3933333376,0.502515742874,16.38,0.498368729544,16.57
36,0.383462513643,13.2577777767,0.497067432499,16.72,0.506428294349,16.47
37,0.377938995224,13.0288888878,0.509941807842,16.62,0.517293555069,16.74
38,0.382488334078,13.2177777767,0.557467402172,18.32,0.567454017735,18.73
39,0.374619036134,13.0555555598,0.517578367329,16.7,0.515801015663,16.93
40,0.373915266297,13.0066666677,0.490897746086,16.56,0.487785788155,15.59
41,0.362786947913,12.6044444423,0.487580148888,16.18,0.495155859089,16.17
42,0.357965070068,12.2266666677,0.497509860516,15.66,0.510699345589,16.46
